ABC command line: "read /home/andrew/rust-formal-verification/tests/examples/hwmcc20/2019/beem/brp2.6.prop3-back-serstep_zero_then_fold2.aig ; pdr -v".

VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 1                                                                 1     3      0.00 sec
  2 : 0 1 1                                                               1     5      0.01 sec
  3 : 0 1 1 1                                                             1     7      0.01 sec
  4 : 0 1 1 1 1                                                           1     9      0.01 sec
  5 : 0 1 1 1 1 1                                                         1    11      0.01 sec
  6 : 0 1 1 1 1 1 1                                                       1    13      0.02 sec
  7 : 0 1 1 1 1 1 1 1                                                     1    15      0.02 sec
  8 : 0 1 1 1 1 1 1 1 1                                                   1    17      0.02 sec
  9 : 0 4 21 75 170 260 325 292 225 147                                 203   132      4.92 sec
 10 : 0 4 20 55 101 138 193 198 173 130 46                                1   132      5.10 sec
 11 : 0 4 20 50 86 126 180 197 173 129 42 6                               2   132      5.25 sec
 12 : 0 4 20 50 83 126 180 197 173 129 42 5 2                             1   132      5.39 sec
 13 : 0 4 20 50 82 126 180 197 173 129 46 12 12 10                       11   132      5.65 sec
 14 : 0 4 20 50 82 126 180 200 181 143 65 29 25 22 14                    18   133      6.21 sec
 15 : 0 4 20 50 82 126 180 196 181 143 62 26 19 15 6 5                    0   133      6.37 sec
 16 : ... 4 27 76 162 255 361 470 547 647 665 723 801 877 871 844 876   726   164     47.66 sec
 17 : ... 58 120 197 282 373 415 497 508 553 658 649 617 627 606 473      1   164     49.24 sec
 18 : ... 120 197 280 372 415 495 503 551 652 640 608 620 600 253 221     1   164     50.47 sec
 19 : ... 301 405 471 582 672 797 994 1048 1102 1256 1308 941 726 710   595   167     88.30 sec
 20 : ... 375 452 547 613 718 862 913 926 999 1041 778 614 561 317        1   167     90.97 sec
 21 : ... 452 547 613 718 859 910 924 995 1039 772 606 555 192 150        9   167     93.28 sec
 22 : ... 453 549 615 720 860 914 932 1007 1050 788 614 572 215 94 95    48   167     96.30 sec
 23 : ... 2311 2532 2786 3120 3453 3609 3751 4070 3968 4105 3904 4051  2969   184    563.23 sec
 24 : ... 2012 2180 2331 2462 2462 2513 2720 2688 2663 2776 2785 2538     1   184    586.36 sec
 25 : ... 2162 2307 2426 2430 2468 2663 2633 2597 2706 2742 1539 1008     1   184    599.77 sec
 26 : ... 2307 2426 2429 2468 2663 2632 2595 2707 2742 1539 580 429       1   184    612.57 sec
slurmstepd-thanos7_1: error: *** JOB 75840 ON thanos7_1 CANCELLED AT 2022-12-27T20:49:27 DUE TO TIME LIMIT ***
