ABC command line: "read /home/andrew/rust-formal-verification/tests/examples/hwmcc20/2019/mann/data-integrity/unsafe/circular_pointer_top_w32_d32_e0_zero_then_fold2.aig ; pdr -v".

VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 1                                                                 1     1      0.01 sec
  2 : 0 19 105                                                            4    91      0.08 sec
  3 : 0 5 80 175                                                          4   123      0.24 sec
  4 : 0 4 80 242 401                                                      5   155      0.77 sec
  5 : 0 4 78 184 547 601                                                  4   188      1.85 sec
  6 : 0 4 78 171 545 1077 1074                                           10   220      4.39 sec
  7 : 0 4 78 171 539 946 1568 1146                                        6   252      7.70 sec
  8 : 0 4 78 171 478 939 1398 2104 1651                                  13   284     13.51 sec
  9 : 0 4 78 171 478 934 1384 1564 2614 1889                             10   316     21.06 sec
 10 : 0 4 78 170 477 881 1353 1617 2001 3416 2515                        12   348     33.15 sec
 11 : 0 4 78 170 477 833 1356 1608 1665 2500 4084 2470                   18   380     46.33 sec
 12 : 0 4 78 170 477 832 1350 1599 1579 2499 3751 5679 4286              21   412     78.78 sec
 13 : 0 4 78 170 477 832 1345 1601 1533 2090 2525 3336 5381 3232         38   444     94.99 sec
 14 : ... 78 170 477 832 1341 1607 1540 2105 2558 3064 4460 6648 3903    75   476    126.40 sec
 15 : ... 477 832 1237 1401 1375 2123 2436 2932 4066 4773 6662 6604      40   508    180.15 sec
 16 : ... 832 1237 1401 1378 2097 2348 2510 3637 3704 4295 7583 5559     76   540    218.14 sec
 17 : ... 1401 1378 2094 2342 2394 3620 3559 3851 5359 10593 5858       149   572    285.03 sec
 18 : ... 1384 2128 2364 2343 3645 3540 3756 5041 6464 13486 8473       160   604    402.29 sec
 19 : ... 2073 2273 2231 3314 3132 3300 4393 4809 9415 15858 7636        58   636    529.95 sec
slurmstepd-thanos9_4: error: *** JOB 76002 ON thanos9_4 CANCELLED AT 2022-12-27T21:06:57 DUE TO TIME LIMIT ***
