ABC command line: "read /home/andrew/rust-formal-verification/tests/examples/hwmcc20/2019/wolf/2019C/qspiflash_dualflexpress_divfive-p009_zero_then_fold2.aig ; pdr -v".

VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 4                                                                 1     5      0.00 sec
  2 : 0 4 5                                                               2     9      0.00 sec
  3 : 0 2 9 10                                                            3    23      0.01 sec
  4 : 0 2 2 8 10                                                          2    24      0.01 sec
  5 : 0 2 2 8 16 17                                                       5    32      0.02 sec
  6 : 0 2 2 8 10 19 14                                                    5    35      0.03 sec
  7 : 0 2 2 8 13 45 89 144                                               15    51      0.19 sec
  8 : 0 2 2 8 13 45 90 95 108                                            11    52      0.28 sec
  9 : 0 2 2 8 15 46 88 117 109 136                                       18    54      0.42 sec
 10 : 0 2 2 8 15 45 93 126 101 118 162                                   17    54      0.61 sec
 11 : 0 2 2 8 15 42 88 112 101 101 104 147                               12    54      0.73 sec
 12 : 0 2 2 8 15 42 75 87 91 81 79 76 185                                 9    54      0.86 sec
 13 : 0 2 2 8 15 42 74 88 91 83 67 81 76 205                             10    56      1.00 sec
 14 : 0 2 2 8 15 42 74 88 90 82 67 50 48 41 178                           7    56      1.05 sec
 15 : 0 2 2 8 15 42 74 92 98 87 75 71 74 59 56 200                       32    61      1.25 sec
 16 : 0 2 2 8 15 46 96 137 127 134 144 164 165 142 132 140 360           52    71      2.32 sec
 17 : 0 2 2 8 15 44 77 127 119 114 112 126 133 101 104 101 80 357        25    73      2.54 sec
 18 : ... 2 8 15 44 77 127 117 112 110 124 137 112 118 126 94 83 368     29    73      2.81 sec
 19 : ... 15 44 77 130 128 134 135 139 157 128 137 138 110 95 173 365    40    73      3.31 sec
 20 : ... 110 165 164 187 187 221 252 198 209 201 167 156 171 187 550    60    84      5.08 sec
 21 : ... 175 164 163 168 209 224 178 188 156 148 118 132 123 141 600    52    84      5.79 sec
 22 : ... 158 153 152 198 187 136 129 113 106 82 94 94 100 127 555        2    84      5.99 sec
 23 : ... 187 211 267 265 206 202 179 198 175 200 193 204 229 304 652    78    86      7.97 sec
 24 : ... 231 239 248 212 225 217 289 236 300 283 314 307 374 350 924    61    87     10.80 sec
 25 : ... 208 218 182 182 171 214 151 196 160 210 196 231 195 270 804     5    87     11.27 sec
 26 : ... 257 239 256 251 285 217 269 237 308 308 348 324 338 339 849    54    87     13.55 sec
 27 : ... 202 235 207 240 182 215 188 226 259 267 238 257 291 463 524    30    88     14.26 sec
 28 : ... 290 292 349 311 322 337 376 393 381 359 368 427 402 323 869    60    91     17.33 sec
 29 : ... 267 348 328 326 332 348 386 376 390 409 449 439 368 355 900    83    94     20.12 sec
 30 : ... 335 293 275 279 285 343 329 313 343 404 388 339 279 234 864    46    96     21.46 sec
 31 : ... 289 279 286 306 362 342 336 370 450 433 374 328 277 280 828    46    96     23.24 sec
 32 : ... 306 329 327 405 387 401 419 505 497 433 422 385 374 373 977    53    96     26.48 sec
 33 : ... 302 279 365 324 356 363 425 385 329 310 294 267 272 282 889    30    96     27.73 sec
 34 : ... 394 359 388 405 472 437 367 361 356 332 362 355 334 1007       42    98     30.33 sec
 35 : ... 366 326 369 372 431 404 346 320 306 269 297 254 289 388 806    32    98     31.69 sec
 36 : ... 430 452 539 504 441 422 412 382 400 381 426 460 410 1027       56   126     36.17 sec
 37 : ... 388 483 461 411 390 363 333 370 389 386 430 350 385 1022       65   126     39.13 sec
 38 : ... 401 501 452 396 382 353 322 321 357 367 433 343 341 352 981    47   126     41.59 sec
 39 : ... 436 426 444 429 409 420 446 461 561 458 489 453 486 1056       67   130     46.18 sec
 40 : ... 438 447 445 377 344 376 373 504 438 480 457 476 451 1239       56   130     50.43 sec
 41 : ... 462 440 374 351 396 395 454 386 443 500 525 471 430 1193       76   131     54.02 sec
 42 : ... 417 355 336 383 369 427 374 428 494 511 415 383 367 1052       30   131     56.28 sec
 43 : ... 417 380 421 424 497 436 498 590 594 489 458 448 627 1000       86   132     61.21 sec
 44 : ... 520 555 502 556 541 632 757 858 751 704 647 634 683 1560       71   132     71.40 sec
 45 : ... 442 424 461 466 510 644 621 583 540 520 515 446 555 1358       35   132     75.46 sec
 46 : ... 502 573 590 654 778 753 709 683 733 772 682 759 752 1526       67   132     84.28 sec
 47 : ... 500 469 531 660 650 543 479 527 594 533 595 616 533 1210       25   132     87.56 sec
 48 : ... 518 585 722 708 596 533 617 723 678 743 797 690 567 1300       93   134     95.26 sec
