ABC command line: "read /home/andrew/rust-formal-verification/tests/examples/hwmcc20/2019/wolf/2019C/qspiflash_dualflexpress_divthree-p161_zero_then_fold2.aig ; pdr -v".

ABC command line: "read /home/andrew/rust-formal-verification/tests/examples/hwmcc20/2019/wolf/2019C/qspiflash_dualflexpress_divthree-p161_zero_then_fold2.aig ; pdr -v".

VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 16                                                                1    16      0.00 sec
  2 : 0 3 17                                                              3    20      0.00 sec
  3 : 0 2 1 16                                                            0    20      0.00 sec
  4 : 0 6 9 9 28                                                         12    37      0.01 sec
  5 : 0 4 5 5 6 21                                                        0    37      0.01 sec
  6 : 0 4 5 5 7 7 25                                                      5    41      0.01 sec
VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 16                                                                1    16      0.00 sec
  2 : 0 3 17                                                              3    20      0.00 sec
  3 : 0 2 1 16                                                            0    20      0.00 sec
  4 : 0 6 9 9 28                                                         12    37      0.01 sec
  5 : 0 4 5 5 6 21                                                        0    37      0.01 sec
  6 : 0 4 5 5 7 7 25                                                      5    41      0.01 sec
  7 : 0 4 7 11 28 46 52 96                                               18    65      0.10 sec
  7 : 0 4 7 11 28 46 52 96                                               18    65      0.10 sec
  8 : 0 4 7 11 25 25 22 3 70                                              0    65      0.10 sec
  9 : 0 4 7 11 25 25 22 3 2 68                                            0    65      0.11 sec
  8 : 0 4 7 11 25 25 22 3 70                                              0    65      0.10 sec
  9 : 0 4 7 11 25 25 22 3 2 68                                            0    65      0.11 sec
 10 : 0 4 7 11 25 25 22 3 2 3 68                                          2    65      0.11 sec
 11 : 0 4 7 11 25 25 22 3 2 5 2 72                                        5    65      0.12 sec
 10 : 0 4 7 11 25 25 22 3 2 3 68                                          2    65      0.11 sec
 11 : 0 4 7 11 25 25 22 3 2 5 2 72                                        5    65      0.12 sec
 12 : 0 4 7 11 25 29 33 14 38 38 21 8 237                                18    66      0.30 sec
 12 : 0 4 7 11 25 29 33 14 38 38 21 8 237                                18    66      0.30 sec
 13 : 0 4 8 14 53 148 271 389 454 546 574 525 481 1000                  142    95      3.07 sec
 13 : 0 4 8 14 53 148 271 389 454 546 574 525 481 1000                  142    95      3.07 sec
 14 : 0 3 8 11 25 51 85 83 114 122 117 114 158 165 643                    0    95      3.23 sec
 14 : 0 3 8 11 25 51 85 83 114 122 117 114 158 165 643                    0    95      3.23 sec
 15 : 0 3 8 11 25 49 84 82 113 120 117 113 156 164 215 419                0    95      3.31 sec
 15 : 0 3 8 11 25 49 84 82 113 120 117 113 156 164 215 419                0    95      3.31 sec
 16 : 0 3 8 11 25 49 84 82 113 120 117 113 156 164 215 111 305            0    95      3.38 sec
 16 : 0 3 8 11 25 49 84 82 113 120 117 113 156 164 215 111 305            0    95      3.38 sec
 17 : 0 3 8 11 25 49 84 82 113 120 117 113 156 164 215 111 35 272         5    95      3.45 sec
 17 : 0 3 8 11 25 49 84 82 113 120 117 113 156 164 215 111 35 272         5    95      3.45 sec
 18 : ... 3 8 11 25 49 84 82 113 120 117 113 156 164 215 111 32 7 262     0    95      3.52 sec
 18 : ... 3 8 11 25 49 84 82 113 120 117 113 156 164 215 111 32 7 262     0    95      3.52 sec
 19 : ... 8 11 25 49 84 82 113 120 117 113 156 164 215 111 32 7 5 257     0    95      3.59 sec
 19 : ... 8 11 25 49 84 82 113 120 117 113 156 164 215 111 32 7 5 257     0    95      3.60 sec
 20 : ... 25 49 84 82 113 120 117 113 156 164 215 116 36 16 17 17 287    15    97      3.70 sec
 20 : ... 25 49 84 82 113 120 117 113 156 164 215 116 36 16 17 17 287    15    97      3.70 sec
 21 : ... 25 49 84 82 113 120 117 113 156 164 215 101 32 6 5 3 5 302      0    97      3.77 sec
 21 : ... 25 49 84 82 113 120 117 113 156 164 215 101 32 6 5 3 5 302      0    97      3.78 sec
 22 : ... 49 84 82 113 120 117 113 156 164 215 101 32 5 5 3 5 9 293       0    97      3.84 sec
 22 : ... 49 84 82 113 120 117 113 156 164 215 101 32 5 5 3 5 9 293       0    97      3.85 sec
 23 : ... 179 180 178 257 307 432 375 405 406 451 440 365 337 295 722   270   116      7.07 sec
 23 : ... 179 180 178 257 307 432 375 405 406 451 440 365 337 295 722   270   116      7.08 sec
 24 : ... 139 110 167 144 153 145 222 229 235 179 180 169 166 149 708     0   116      7.48 sec
 24 : ... 139 110 167 144 153 145 222 229 235 179 180 169 166 149 708     0   116      7.49 sec
 25 : ... 108 165 138 151 143 225 235 244 182 185 178 168 157 105 650    26   116      7.75 sec
 25 : ... 108 165 138 151 143 225 235 244 182 185 178 168 157 105 650    26   116      7.76 sec
 26 : ... 163 137 151 143 219 233 239 175 182 175 161 145 100 51 589      0   116      7.95 sec
 26 : ... 163 137 151 143 219 233 239 175 182 175 161 145 100 51 589      0   116      7.96 sec
 27 : ... 137 151 143 219 233 239 175 182 175 161 145 99 51 21 568        0   116      8.13 sec
 27 : ... 137 151 143 219 233 239 175 182 175 161 145 99 51 21 568        0   116      8.14 sec
 28 : ... 151 143 219 233 239 175 182 175 161 145 100 52 23 13 566        9   116      8.32 sec
 28 : ... 151 143 219 233 239 175 182 175 161 145 100 52 23 13 566        9   116      8.33 sec
 29 : ... 151 143 219 233 239 174 180 174 158 147 101 52 22 9 9 558       0   116      8.51 sec
 29 : ... 151 143 219 233 239 174 180 174 158 147 101 52 22 9 9 558       0   116      8.52 sec
 30 : ... 151 143 219 233 239 174 180 174 158 147 101 52 22 9 9 9 546     0   116      8.69 sec
 30 : ... 151 143 219 233 239 174 180 174 158 147 101 52 22 9 9 9 546     0   116      8.70 sec
 31 : ... 226 254 273 188 203 202 175 160 111 87 65 28 33 41 28 747      58   116      9.43 sec
 31 : ... 226 254 273 188 203 202 175 160 111 87 65 28 33 41 28 747      58   116      9.44 sec
 32 : ... 356 331 447 451 370 297 320 252 191 111 103 109 85 62 946     210   116     12.02 sec
 32 : ... 356 331 447 451 370 297 320 252 191 111 103 109 85 62 946     210   116     12.03 sec
 33 : ... 193 233 189 201 168 148 148 108 93 67 58 46 42 33 26 13 717     0   116     12.30 sec
 33 : ... 193 233 189 201 168 148 148 108 93 67 58 46 42 33 26 13 717     0   116     12.31 sec
 34 : ... 233 188 200 168 146 145 107 90 67 58 46 41 33 26 13 7 710       0   116     12.50 sec
 34 : ... 233 188 200 168 146 145 107 90 67 58 46 41 33 26 13 7 710       0   116     12.51 sec
 35 : ... 233 188 200 168 146 145 107 90 67 58 46 41 33 26 13 7 5 705     0   116     12.70 sec
 35 : ... 233 188 200 168 146 145 107 90 67 58 46 41 33 26 13 7 5 705     0   116     12.71 sec
 36 : ... 188 200 168 146 145 107 90 67 58 46 41 33 26 13 7 5 4 700       0   116     12.88 sec
 36 : ... 188 200 168 146 145 107 90 67 58 46 41 33 26 13 7 5 4 700       0   116     12.89 sec
 37 : ... 188 200 168 146 145 107 90 67 58 46 41 33 26 13 7 5 4 1 699     0   116     13.08 sec
 37 : ... 188 200 168 146 145 107 90 67 58 46 41 33 26 13 7 5 4 1 699     0   116     13.09 sec
 38 : ... 200 168 146 145 107 90 67 58 46 41 33 26 13 7 5 4 1 1 698       0   116     13.27 sec
 38 : ... 200 168 146 145 107 90 67 58 46 41 33 26 13 7 5 4 1 1 698       0   116     13.28 sec
 39 : ... 200 168 146 145 107 90 67 58 46 41 33 26 13 7 5 4 1 1 1 697     0   116     13.46 sec
 39 : ... 200 168 146 145 107 90 67 58 46 41 33 26 13 7 5 4 1 1 1 697     0   116     13.47 sec
 40 : ... 168 146 145 107 90 67 58 46 41 33 26 13 7 5 4 1 1 1 1 696       0   116     13.65 sec
 40 : ... 168 146 145 107 90 67 58 46 41 33 26 13 7 5 4 1 1 1 1 696       0   116     13.66 sec
 41 : ... 168 146 145 107 90 67 58 46 41 33 26 13 7 5 4 1 1 1 1 1 695     0   116     13.84 sec
 41 : ... 168 146 145 107 90 67 58 46 41 33 26 13 7 5 4 1 1 1 1 1 695     0   116     13.85 sec
 42 : ... 146 145 107 90 67 58 46 41 33 26 13 7 5 4 1 1 1 1 2 6 699       6   116     14.04 sec
 42 : ... 146 145 107 90 67 58 46 41 33 26 13 7 5 4 1 1 1 1 2 6 699       6   116     14.05 sec
 43 : ... 146 145 107 89 67 58 46 41 33 26 13 7 5 4 1 1 1 1 2 3 3 695     0   116     14.23 sec
 43 : ... 146 145 107 89 67 58 46 41 33 26 13 7 5 4 1 1 1 1 2 3 3 695     0   116     14.24 sec
 44 : ... 145 107 89 67 58 46 41 33 26 13 7 5 4 1 1 1 1 2 3 3 1 693       0   116     14.42 sec
 44 : ... 145 107 89 67 58 46 41 33 26 13 7 5 4 1 1 1 1 2 3 3 1 693       0   116     14.43 sec
 45 : ... 62 53 52 42 36 23 18 18 22 23 28 31 31 28 19 14 17 18 776      59   116     14.86 sec
 45 : ... 62 53 52 42 36 23 18 18 22 23 28 31 31 28 19 14 17 18 776      59   116     14.88 sec
 46 : ... 105 93 66 47 44 45 37 32 15 11 6 6 7 6 6 2 4 2 2 2 2 1 742      0   116     15.08 sec
 46 : ... 105 93 66 47 44 45 37 32 15 11 6 6 7 6 6 2 4 2 2 2 2 1 742      0   116     15.09 sec
 47 : ... 93 66 47 44 45 37 32 15 11 6 6 7 6 6 2 4 2 2 2 2 1 1 740        0   116     15.27 sec
 47 : ... 93 66 47 44 45 37 32 15 11 6 6 7 6 6 2 4 2 2 2 2 1 1 740        0   116     15.29 sec
