ABC command line: "read /home/andrew/rust-formal-verification/tests/examples/hwmcc20/2019/mann/data-integrity/unsafe/shift_register_top_w16_d128_e0_zero_then_fold2.aig ; pdr -v".

VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 10                                                                1    10      0.01 sec
  2 : 0 4 40                                                              2    41      0.02 sec
  3 : 0 5 38 54                                                           5    43      0.04 sec
  4 : 0 5 38 76 80                                                        4    59      0.07 sec
  5 : 0 5 38 68 38 46                                                     0    59      0.08 sec
  6 : 0 5 38 72 80 196 186                                               10    97      0.25 sec
  7 : 0 5 38 72 76 132 137 109                                            2    97      0.32 sec
  8 : 0 5 38 72 76 132 106 72 40                                          1    97      0.34 sec
  9 : 0 5 38 73 76 136 112 262 360 318                                   23   145      0.89 sec
 10 : 0 5 38 73 76 125 108 228 246 295 85                                 1   145      1.00 sec
 11 : 0 5 38 73 76 125 108 228 244 364 355 321                           17   178      1.54 sec
 12 : 0 5 38 73 76 125 108 219 233 229 209 375 96                         3   178      1.72 sec
 13 : 0 5 38 73 76 125 108 219 233 233 221 422 279 226                   25   197      2.17 sec
 14 : 0 5 38 73 76 125 108 219 233 221 203 392 339 405 224               14   218      2.74 sec
 15 : 0 5 38 73 76 125 108 219 233 221 201 388 341 387 327 163           19   226      3.23 sec
 16 : ... 5 38 73 76 125 108 219 233 221 198 308 300 373 298 247 201     20   239      3.75 sec
 17 : ... 74 77 129 113 228 236 224 200 310 296 380 362 360 379 245      45   255      4.59 sec
 18 : ... 74 77 80 95 232 197 224 211 308 307 333 290 233 247 311 138     7   255      4.94 sec
 19 : ... 80 95 232 197 224 211 308 307 337 307 296 310 404 302 206      33   277      5.74 sec
 20 : ... 95 232 197 224 211 308 306 331 280 332 281 298 599 666 419     25   316      7.31 sec
 21 : ... 232 197 224 211 308 306 326 254 298 226 229 485 560 516 88     15   316      7.87 sec
