ABC command line: "read /home/andrew/rust-formal-verification/tests/examples/hwmcc20/2019/wolf/2018D/zipcpu-busdelay-p00_zero_then_fold2.aig ; pdr -v".

VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 1                                                                 1     1      0.00 sec
  2 : 0 6 17                                                              2    27      0.00 sec
  3 : 0 3 8 10                                                            0    27      0.00 sec
  4 : 0 4 19 39 64                                                       10    47      0.02 sec
  5 : 0 4 16 20 41 64                                                     7    48      0.04 sec
  6 : 0 4 17 21 36 71 74                                                  9    54      0.06 sec
  7 : 0 4 17 21 33 69 91 91                                              12    55      0.10 sec
  8 : 0 4 17 21 33 68 105 139 138                                        11    56      0.19 sec
  9 : 0 4 17 21 33 64 97 139 196 163                                     18    57      0.30 sec
 10 : 0 4 17 21 33 64 96 130 188 278 213                                 35    59      0.47 sec
 11 : 0 4 17 21 33 64 96 127 172 229 295 231                             12    60      0.64 sec
 12 : 0 4 17 21 33 61 98 117 147 213 281 347 271                         19    60      0.88 sec
 13 : 0 4 17 21 33 61 98 117 143 206 259 376 418 404                     33    60      1.29 sec
 14 : 0 4 17 21 33 61 97 114 144 202 226 255 349 532 487                 26    60      1.71 sec
 15 : 0 4 17 21 33 61 97 114 131 199 230 240 226 268 450 480             15    60      1.93 sec
 16 : 0 4 17 21 33 61 97 114 131 199 230 240 244 273 555 822 818        167    60      2.94 sec
 17 : ... 17 21 33 61 97 114 131 199 230 238 234 208 286 491 836 804     40    60      3.52 sec
 18 : ... 33 61 97 114 131 199 230 239 236 209 284 418 808 1028 1154     40    60      4.85 sec
 19 : ... 61 97 114 131 199 230 238 233 170 207 209 255 521 1014 1391    74    60      5.82 sec
 20 : ... 114 131 199 230 238 233 170 205 211 227 322 594 1100 1233      81    60      6.67 sec
 21 : ... 131 199 230 236 232 156 172 203 183 227 296 845 1380 1189      55    60      7.89 sec
 22 : ... 199 230 232 229 154 155 193 155 210 321 610 1409 1815 1550    144    60     10.59 sec
 23 : ... 230 232 227 150 149 190 143 175 207 276 417 838 1588 1800      65    60     12.07 sec
 24 : ... 232 227 150 149 190 140 167 199 258 356 825 1991 2265 1987    107    60     15.91 sec
 25 : ... 227 148 147 186 139 166 190 224 264 421 651 1090 1735 2638     65    60     18.19 sec
 26 : ... 148 147 186 139 161 180 225 265 425 660 1076 1873 2276 2520   137    60     22.37 sec
 27 : ... 147 186 139 160 176 219 289 430 587 798 978 1448 1857 4303    188    60     28.96 sec
 28 : ... 186 132 160 174 179 214 313 443 516 513 694 1198 1703 4064     38    60     32.02 sec
 29 : ... 132 160 167 179 213 314 430 435 378 506 804 1249 1675 4639    168    60     36.00 sec
 30 : ... 160 167 178 213 312 422 401 286 311 355 388 824 1366 4746      13    60     38.32 sec
 31 : ... 167 179 221 329 449 432 312 324 328 356 565 836 1064 5011     103    60     41.11 sec
 32 : ... 172 202 297 406 385 248 266 293 344 467 740 1023 1495 4971     75    60     45.09 sec
 33 : ... 171 202 297 405 383 239 222 156 66 82 92 100 141 136 7316       5    60     47.98 sec
 34 : ... 202 297 405 383 239 222 156 66 82 92 100 135 133 175 7143       3    60     49.62 sec
 35 : ... 297 405 383 239 222 156 66 89 106 112 147 147 195 212 7021     29    60     51.42 sec
 36 : ... 297 405 383 239 222 151 51 65 71 75 97 119 142 160 234 7053    23    60     53.28 sec
 37 : ... 405 382 239 223 151 50 61 67 69 82 60 98 95 148 231 6996        0    60     55.00 sec
 38 : ... 382 239 223 151 50 61 67 69 82 60 98 95 148 231 324 6669        0    60     56.48 sec
 39 : ... 239 223 151 50 65 72 79 96 77 121 117 176 264 368 324 6606     36    60     58.75 sec
slurmstepd-thanos7: error: *** JOB 68477 ON thanos7 CANCELLED AT 2022-11-30T20:37:23 DUE TO TIME LIMIT ***
